sku,affiliate_link_1,affiliate_link_2,product_name
MD13,https://s.shopee.vn/30lJWGoUK9,https://s.shopee.vn/3Vha7GgIpK,Mua ở đây nha mấy bà
MD26,https://s.shopee.vn/6VLBgfBi8n,https://s.shopee.vn/4ftXVOBro8,Mua ở đây nha mấy bà
MD03,https://s.shopee.vn/9pbgq1e6J4,https://s.shopee.vn/3qKTh3v42n,Mua ở đây nha mấy bà
MD07,https://s.shopee.vn/9pbgq8kpRU,https://s.shopee.vn/8V6JFf7Pxq,Mua ở đây nha mấy bà
MD07,https://s.shopee.vn/9pbgq8kpRU,https://s.shopee.vn/8V6JFf7Pxq,Mua ở đây nha mấy bà
MD01,https://s.shopee.vn/4LGkI4hatj,https://s.shopee.vn/7VDm3wuj1H,Mua ở đây nha mấy bà
MD27,https://s.shopee.vn/9fIGdyresS,https://s.shopee.vn/qgs7lsIzT,Mua ở đây nha mấy bà
AN03,https://s.shopee.vn/9Kfsv5QW8s,https://s.shopee.vn/9fIGdyresS,Mua ở đây nha mấy bà
AN05,https://s.shopee.vn/2qSPBAnDWR,https://s.shopee.vn/5AqJxUmG07,Mua ở đây nha mấy bà
MD15,https://s.shopee.vn/70Hy9PWHr6,https://s.shopee.vn/2qSPBgwI1V,Mua ở đây nha mấy bà
